,Outlet,String,Label,R.E.1,R.E.2,R.E.3,R.E.4,R.E.5,R.E.6,R.E.tag,TagLabel
23,422,       ``(ii) For fiscal year 1996 and each ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
24,422,   Section 2003(c) (42 U.S.C. 1397b) is amen,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
25,7,"iations Act, 1998 (Public Law 105-119).    ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
26,461, its authority under  section 994(p) of tit,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
27,136,"ifference between $21,519,458,857 and the m",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
28,506,"r than 2 years after          1992-11-04, is",1,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooyyyyyyyyyyoooo
29,501,e Securities Exchange Act  of 1934 (15 U.S.C,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
30,422,"or fiscal year 1998, $173,276,000;         ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
31,7,uthorized pursuant to section 210304 of     ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
32,422,number assigned under section 6109 of the In,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
33,422,"ing after Dec 31, 1997.  SEC. 12935. TREATME",1,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,ooooooooooyyyyyyyyyyyyoooooooooooooooooooooo
34,449,"   (4) For ammunition, $2,190,576,000.     ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
35,176,  Wagon Road grant land. Sec. 102. Distribu,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
36,384,"s'' and inserting  ``$300,000,000 for fisca",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
37,422,llowed          under section 219 for a con,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
38,422,ch unamortized balance.  SEC. 12804. TERMINA,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
39,422,"y to loans made after Oct 13, 1995, to      ",1,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooyyyyyyyyyyyyoooooooooo
40,535,                      section 353 of the Pu,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
41,422,"        Reconciliation Act of 1995), for a B",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
42,425,ferred to in section          4081(a)(1)(B)(,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
43,208,e end the  following:  ``SEC. 424. SEPARATE,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
44,88,nder section                  501(a) of suc,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
45,526,Order No. 13057 (62 Fed. Reg. 41249) or a   ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
46,393,"There is hereby appropriated $800,000 to th",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
47,468,                  out section 424 of the Co,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
48,383,    [Congressional Bills 111th Congres,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooo
49,461,Delinquency Prevention Act of 1974 (42 U.S.C,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
50,7,"the Smith-Lever Act (7 U.S.C. 343), except ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
51,435,ing given the term in section 673(2) of the,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
52,422,year                          1996.--The amo,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
53,155,le II of such  Act (19 U.S.C. 2251 et seq.).,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
54,422,PAYMENTS FOR THE 1991 THROUGH 2002 CROPS OF ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
55,263, Act  of 2004 (Public Law 108-405; 118 Stat,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
56,136,ation Act of                  1973;         ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
57,515,cutive Schedule under section 5316 of such t,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
58,317,"olds a position within the GS-0083, GS-     ",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
59,583,"    (2) not more than $58,000,000 shall be ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
60,263,d by  striking ``fiscal years 2005 through 2,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
61,590, of this population.''.  SEC. 102. GRANT PR,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
62,384,ation Act of 1965 (20 U.S.C.  1087rr(g)) is ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
63,422,"d after December 31,          1994, shall ap",1,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,ooooooooyyyyyyyyyyyyyyyyyyyyyyyyyyoooooooooo
64,386,pecies Act of 1973 (16 U.S.C. 1532) (as amen,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
65,311, (d).             (2) Section 105(b) of suc,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
66,185,"evision Act of 1982),''. SEC. 302. TREATMEN",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
67,311,s                  of section 1561.         ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
68,122,                           S. 1829    To ame,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
69,215,ATION DECISIONS.      Section 1851(g)(3) of ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
70,221,"for replacement only,  $2,136,709,000, to r",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
71,27,vernment Printing Office] [S. 232 Introduce,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
72,422,raph (31) of section          7701(a) is ame,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
73,486,4 Introduced in Senate (IS)]  103d CONGRESS,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
74,245,e Department of Defense. Sec. 404. Transfer,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
75,421,"vation, and Trade Act      of 1990 (7 U.S.C.",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
76,370,Y FOR MANDATE DELAY ACT  SEC. 201. SHORT TI,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
77,386,    Endangered Species Act of 1973 (16 U.S.C,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
78,536,n in the class action. ``Sec. 1717. Notifica,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
79,297,                              1974. Sec. 203,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
80,421, as established under section 512(a) of    ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
81,173,efinitions and findings. Sec. 202. Designat,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
82,15,VATION PROJECTS.      Section 171(b)(1)(D) ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
83,422,A) Section 1861(u) (42 U.S.C. 1395x(u)) is a,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
84,7,`Safe School Security Act of  1999''.  SEC. ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
85,421,tate for fiscal          year 1997 under sub,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
86,368,urity          Act (42 U.S.C. 1395x(v)(1)(L),0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
87,21,              trading section 1256 contracts,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
88,590,omeless Youth Act (42 U.S.C.  5711(b)) is am,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
89,432,       Act of 1974 (29 U.S.C. 1169(a)(3)) an,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
90,217,king ``1996'' and inserting ``2001''.  SEC. ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
91,244,n and related requirements. ``807. Notice r,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
92,422,ement Act of  1982 (30 U.S.C. 1711) is amend,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
93,422, program agreements.--Section 428(b)(1)(E)(,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
94,520,e annual report under section 401(g)(2).   ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
95,422,     paragraph (4) of section 264(a) of the,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
96,311,nue  Code of 1986 and section 204(g)(2)(A) ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
97,38," (Public  Law 108-7), $10,422,000 from loca",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
98,378,TITLE VI--HABEAS CORPUS  SEC. 601. STOPPING,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
99,461,"ns 1512(a)(1)(C), 1512(b)(3), 1512(c)(2),  1",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
100,443, the Clean Air Act (42 U.S.C. 7545(c)(4)(B)),0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
101,384,CESS TO COLLEGE FOR ALL  SEC. 101. PELL GRA,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
102,158, the          term in section 1104(5) of the,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
103,292,oduced in Senate (IS)]        104th CONGRES,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
104,388,und Agreements Act (19 U.S.C. 3501).''.     ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
105,449,"..................     43,000,000          ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
106,145,t of 1934          (47 U.S.C. 309(j)(14)(A),0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
107,364,"in no case end before May 15, 2007.         ",1,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooyyyyyyyyyyyyoooooooooo
108,422,licable provisions of section 466; and     ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
109,305,"                  4, February 2013    Mr. Le",1,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooyyyyyyyyyyyyyyyyoooooooooo
110,596,Stat. 104; 118          Stat. 335).        ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
111,217,m of Information  Act).  SEC. 602. PRINCIPA,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
112,51,         that term in section 101 of title ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
113,461,        to the State.  ``SEC. 292D. ELIGIBI,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
114,23,                BOARD  ``Sec. 3621. Establis,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
115,293,"Department of the Treasury $1,400,000,000 a",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
116,5," to carry out section 8(e) $2,200,000  for ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
117,551,riteria  contained in section 102(a)(2) of ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
118,422,ance for Needy Families  Sec. 7200. Short ti,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
119,422,exibility program      ``Sec. 1820. (a) Purp,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
120,7,"ted--             (1) $15,000,000 for fisca",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
121,384, higher education loans. Sec. 107. Refinanc,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
122,422,ng given such term by section 216(l)(1).''.,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
123,79,                  [Report No. 111-310]  ___,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
124,276,"   economic growth during the 1990's, and tw",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
125,461,ittent services under section 3109(b) of tit,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
126,422,e amendments made by sections 7252 and  7253,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
127,393,"activities;  and of which $92,081,000 for b",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
128,421,erting ``each of fiscal years 1997      thro,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
129,475,"s of sections 1931, 1932, and 1933 of       ",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
130,311," 403(b)(12),                  408(k), 408(p",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
131,209,ollowing new section:  ``SEC. 7330B. CENTERS,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
132,390,fety and  Preservation Act of 1993''.  SEC. ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
133,384,cation Act of 1965 (20 U.S.C. 1070a-28) is a,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
134,17,ENEFIT PROGRAMS.      Section 1004 of title ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
135,311,"curity Act of 1974 (29 U.S.C. 1306(a)), as a",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
136,7,orm crime report for          1998.         ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
137,221,"iations Act, 1999, Public Law 105-245, is m",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
138,221,".S.C. 6201 et seq.), $259,073,000, to remai",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
139,31,"t this  subchapter $1,000,000,000 for fisca",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
140,422,ility Act of  1982 (42 U.S.C. 602 note) is ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
141,433,    (b) Definitions.--Section 101 of title ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
142,245,Small Business Act (15 U.S.C. 644(g)(1)).  ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
143,124,                  inserting ``2008''; and   ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
144,539,"   Act, fiscal years 1984 and 1985 (22 U.S.C",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
145,461,for Community Personnel  SEC. 1101. 21ST CEN,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
146,136,her Education          Act of 1965 (20 U.S.C,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
147,21,       <all>  S 102 IS----2 S 102 IS----3 S,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
148,555, General.--Title II (8 U.S.C. 1151 et. seq.),0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
149,348,Y MARINE WATERS.      Section 304 (33 U.S.C,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
150,492,tic corporation under section 943(e) of    ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
151,422,"d in section                  816), or anot",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
152,7,"ry out subsection (b), $1,150,000; and     ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
153,555,"(8 U.S.C. 1324(a), 1327, and  1328).''.  SEC",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
154,422,"           (ii) by striking ``403,'';      ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
155,422,ocial Security Act (42 U.S.C. 601 et seq.);,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
156,267, aliens described in section  212(a)(3)(E).,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
157,13,nd Nationality Act (8 U.S.C.  1324(a)) is am,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
