,Outlet,String,Label,R.E.1,R.E.2,R.E.3,R.E.4,R.E.5,R.E.tag,TagLabel
12,31," edition. Reading, Massachusetts, Addison-Wesley, 1992.ISBN 0201572869.</blockquote>",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
14,344,"diana.edu/classes/a247/images/tiedye.gif""><BR><!WA16><IMG SRC=""http://www.cs.india",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooyyyyoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
15,265,"ww.cs.caltech.edu/~cs181/fa.gif"" width=334 height=360 align=center></td>  <td align",1,0,0,1,0,1,oooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
16,565,"33_info/www/HW07_stat.html""> statistic</A><LI><!WA35><A HREF=""file://www.csc.ncsu.",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
17,550,"   (<!WA5><A HREF=""http://www.cs.usask.ca/classes/250/tutorials96/960916/960916.htm",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
18,44,"p://cs.nyu.edu/cs/dept_info/course_home_pages/fall96/G221.2110/PL/L14/SL14.ps""> sh",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyoooooooooooooooooooo
19,316,"u/~ola""> Owen Astrachan</A><DD> <UL><li> Office: D241, LSRC<li> email: <!WA89><A hr",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
20,351,"www.cs.indiana.edu/classes/b581/node4.html#SECTION00000040000000000000""> Grading Pol",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooyyyyooooooooooooooooooooooooooooooooooooooooooooooooooooo
21,88,   C       73.3-76.7%     D-     60.0-63.3%B      83.3-86.7%     C-      70.0-73.3,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
22,80,"p://iul.cs.byu.edu/450/node30.html#SECTION032500000000000000000""> Video</A><LI> <!WA",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
23,485,"edu/~hqiu/animan.gif"" Alt=""IMAGE"" width=85 height=80>  Syllabus 22c: 010/110  </h2",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyyyyoooooo
24,216,"he topic in 50 minutes, then instigate and   lead 30-40 minutes of class discussio",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
25,44,"idterm Date:</b><DD> <BR> 	Wednesday, October 31, 1996, 55 minutes, closed book.<DT>",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
26,190,"ntent-length: 9862Last-modified: Mon, 25 Nov 1996 20:11:41 GMT<HTML><HEAD></HEAD><",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
27,156,"Date: Tue, 26 Nov 1996 18:51:39 GMTServer: NCSA/1.5M",0,1,0,0,0,1,ooooooooooooooyyyyyyyooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooo
28,76,"Date: Wed, 20 Nov 1996 21:49:34 GMTServer: NCSA/1.4.",0,1,0,0,0,1,ooooooooooooooyyyyyyyooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooo
29,89,"l 1996</TITLE><!-- Changed by: David M. Meyer 503/346-1747, 15-Mar-1996 --></HEAD><",0,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooyyyyyyyyyoooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
30,19,"A HREF=""http://copper.ucs.indiana.edu/~s211/script12"">-->Chapter 12<!--</A>-->: Ob",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
31,405,"y.ps"">10</a>(optional)<LI>COS128 assignments: <!WA56><a href=""http://www.CS.Prince",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
32,583,"ttp://www.deas.harvard.edu/cs/academics/courses/cs141/ass4.ps"">Assignment 4</a><li>",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
33,252,"CB, 1102 TMCB, 2204 TMCB, and 2240 TMCB.<p><b><!WA12><a href=""http://www.cs.byu.ed",0,1,0,0,0,1,ooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
34,149,"1><A HREF=""http://wizard.cse.nd.edu/class_data/cse422/www/TeamAsgnF96.ps"">Team Assi",1,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo
35,239,"ref = ""http://www.cs.bu.edu/students/grads/oira/cs112/hmwrk4.html""> Homework 4 </A>",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
36,190,"A21><A HREF =""http://www.cs.columbia.edu/~radev/cs1001/Notes/Class7/class7.ps"">class",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo
37,367,"!WA33><A HREF=""http://www.cs.indiana.edu/classes/s251/lec/9-10"">9th and 10th</A> Fe",1,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo
38,428,"on</h3><p><ul> <li> Section 1: Wednesday, 7:40--8:35 p.m., EN-B120. <li> Section 2",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
39,449,"/LI><LI><!WA17><A HREF=""http://www.cs.ucsb.edu/~cs110a/solutions"">Sample solutions.",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyooooooooooooooooooooooooooooo
40,454,"d>What <!WA85><a	href=""http://www.cs.uidaho.edu/cs101/day46.html"">computers are goo",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
41,162,"rpoint:<!WA2><a href=""http://www.cis.ksu.edu/~dag/644sp96/slides.html"">slides</a><l",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
42,549,"e.gif"" WIDTH=40 HEIGHT=40 alt = ""()"">&#160 <TD> &#160 <font color=""#cc1314""><b>966-",0,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
43,356,> 4<dt> Requirements<dd> C335 (Prerequisite) and C343 (Pre- or Corequisite)<dt> Lec,1,0,0,1,0,1,oooooooooooooooooooooooooyyyyooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooooooooooooooooooooooooooo
44,573,"WA11><A HREF=""http://www.csc.ncsu.edu/eos/info/csc591c_info/www/lectures/08-22/ques",1,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooo
45,356,"Date: Wed, 20 Nov 1996 22:32:32 GMTServer: Apache/1.0.3Conten",0,1,0,0,0,1,ooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
46,47,"p://cs.nyu.edu/cs/dept_info/course_home_pages/fall96/V22.0201.002/assign1.html"">As",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyyyyooooooooooooooooo
47,419,"s.rpi.edu/~dugan/data_structures/mehta/lect28/lect28.html"">Mehta</a><p><b>Homework",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
48,421,"mpLang/examples/students.c"">students.c</a><dt><!WA21><a href=""http://www.cs.rpi.ed",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
49,483,"opics, organizations and products.<DL>    <DT><!WA21><A HREF=""http://www.internic.",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
50,78,"0.gif"">  <p></center><p><hr><br><center><b>-  <!WA16><a href=""http://infopad.eecs.",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
51,19,"A HREF=""http://copper.ucs.indiana.edu/~s211/ans13F96.ss""> Answers</A>   </tr>--></",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
52,228,"tp://www.cs.bu.edu/faculty/sclaroff/courses/cs480-95/program4/program4.html""> P4 <",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooo
53,29,"87><a href=""#Assmt 2"">Assignment #2</a>;   7. <!WA88><a href=""#Assmt 3"">Assignment",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
54,186,"</H2><a href=""news:upenn.cis.cis511"">upenn.cis.cis511</a><H2>Textbook (required):</",1,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooooooooooooooooooooo
55,94,"es.theory"">Database Theory News Group</A> <LI><!WA23><A href=""news:comp.databases""",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
56,516,"5 GMTServer: NCSA/1.5.1Last-modified: Tue, 30 Jan 1996 21:49:59 GMTContent-type: tex",0,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
57,174,"22:38:24 GMTServer: NCSA/1.5.1Last-modified: Tue, 18 Jul 1995 02:26:33 GMTContent-",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
58,19,"--<!WA59><A HREF=""http://copper.ucs.indiana.edu/~s211/script10"">-->Chapter 10<!--</",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
59,592,tural-Language Processing</h1><i>Computer Science 287r is a graduate seminar on top,0,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
60,191," allocation.</A>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<!WA56><A HREF=""http://www.cs.columb",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
61,241,1): Introduction to Computers</A></H2> <HR><P> CS 101 is a general introduction to ,1,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo
62,257,"nd day, 30% the third day,40% for the fourth day, 50% for the fifth day, and no cr",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
63,349,"000000000000""> Main Text:</A><LI> <A NAME=tex2html10 HREF=""node8.html#SECTION00000",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
64,82,"ram name=speed value=7><param name=bgco value=240,240,240><param name=txtco value=0",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
65,359,H> Lecturer <TH> Topic <TH> Reading*<TR>  <TD>Aug 22<TD>George Springer        <TD,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
66,477, people          > 95                     2       81 - 90                     7   ,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
67,30, 17 18 19 20 21   13 14 15 16 17 18 1918 19 20 21 22 23 24   22 23 24 25 26 27 28 ,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
68,485,"/~hqiu/critic.ques.gif"" align=top ALT=""IMAGE""><!WA12><A HREF=""http://www.cs.uiowa.",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
69,363," structure in connectionist nets</a><LI>Th<br><!WA62><a href=""http://www.cs.indian",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
70,212,"4><A href=""http://www.cs.bu.edu/faculty/heddaya/CS111/HW/06.html"">   6</A> -		<!WA1",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
71,573,"WA63><A HREF=""http://www.csc.ncsu.edu/eos/info/csc591c_info/www/lectures/10-10/talk",1,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooo
72,79,"sl.cs.byu.edu/docs/CS456/ClassPrep.html#anchor9236545"">Chapter 10 - Geometrictransf",1,0,0,1,0,1,oooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
73,120,"ver: NCSA/1.5.1Last-modified: Wed, 13 Nov 1996 18:36:03 GMTContent-type: text/html",0,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
74,573,"lsen 1993 (Chapter 7)</A>, <!WA92><A HREF=""#Gomoll90"">Gomoll 1990</A>] </UL>     <",0,1,0,0,0,1,yyyyyyyyooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyyoooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
75,496,"><A HREF=""http://www.cs.uiowa.edu/~sriram/18spring95/announce.html"">Announcements ",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
76,459,"REF=""http://www.cs.uidaho.edu/~billjunk/courses/cs484/exer4.html""><H3>Exercise 4</H",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
77,409,"f=""http://www.CS.Princeton.EDU/courses/archive/spr96/cs333/notes/l8.4.ps"">notes</a",1,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooo
78,315,"fall93answers.cc""> (answers fall 93) </A><LI> <!WA110><A href=""http://www.cs.duke.e",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
79,477,<A HREF=http://www.cs.uiowa.edu/~cremer/courses/cs21/etc/maj-by-d-and-c.c>     maj,0,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
80,3,"0 GMTServer: NCSA/1.5.1Last-modified: Thu, 21 Nov 1996 20:53:41 GMTContent-type: tex",0,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
81,109,"<BR> <I>Homepage by Flavio Ortolano<BR>E-mail:<!WA34><a href=""mailto:ortolano@bert",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
82,214,"Date: Wed, 20 Nov 1996 21:41:57 GMTServer: NCSA/1.5Content",0,1,0,0,0,1,ooooooooooooooyyyyyyyooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
83,256,"ed, 13 Nov 1996 19:36:51 GMT<HTML><HEAD><TITLE>CS 455 Syllabus</TITLE><!--  describ",1,1,0,0,0,1,oooooooyyyyyyyoooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo
84,211,:00 - 10:00am	CLA-216A2   R   5:00 -  6:00pm	MCS-B31 --> R  6:00 -  7:00pm  MCS-13,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
85,564,"""http://www.csc.ncsu.edu/eos/info/csc310_info/www/13nov.ps"">Wed, 13 Nov</A></LI><L",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooooooooooooooo
86,326,"<!WA9><A HREF=""http://www.cs.engr.uky.edu/~oldham/221HW/pr1.html""> Program 1Due 10/",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
87,44,"p://cs.nyu.edu/cs/dept_info/course_home_pages/fall96/G221.2110/PL/L2/L2.html"">Lect",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyoooooooooooooooooooo
88,525,"A8><img src=""http://www.cs.uoregon.edu/classes/cis199www/pics/homer.gif"" border=0><",1,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo
89,9,"Intelligence/"">Yahoo</A> directory on AI.<LI> <!WA20><A HREF=""http://sigart.acm.or",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
90,249,"ABLE><P><HR WIDTH=""100%""><BR>Aaron's personal <!WA12><A HREF=""http://students.cs.b",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
